Pattern,Problem,Difficulty,Approach,Data Structures,Time Complexity,Space Complexity,Key Insight
Fibonacci/Simple Recurrence,Climbing Stairs,Easy,dp[i] = dp[i-1] + dp[i-2]; ways to reach step i,Array/Variables,O(n),O(1) optimized / O(n) array,Each state depends on previous 1-2 states
Fibonacci/Simple Recurrence,Min Cost Climbing Stairs,Easy,"dp[i] = cost[i] + min(dp[i-1], dp[i-2])",Array,O(n),O(1) optimized,Minimum cost to reach each step
Fibonacci/Simple Recurrence,Dice Combinations,Medium,Sum of ways from previous 6 positions,Array,O(n),O(n),Can reach from any of 6 previous states
Fibonacci/Simple Recurrence,Range Sum Query - Immutable,Easy,Prefix sum array: prefix[i] = prefix[i-1] + nums[i],Array (Prefix Sum),"O(1) query, O(n) preprocessing",O(n),Store cumulative sums for O(1) range queries
0/1 Knapsack,Target Sum,Medium,Convert to subset sum: find subset with sum=(total-target)/2,2D Array dp[n][sum],O(n * sum),O(n * sum) or O(sum) optimized,Transform +/- assignment to subset partitioning
0/1 Knapsack,Partition Equal Subset Sum,Medium,Find subset with sum = total/2; dp[i][j] = can make sum j with first i items,2D Boolean Array or 1D Set,O(n * sum),O(sum),Equal partition means each subset = total/2
0/1 Knapsack,0/1 Knapsack,Medium,"dp[i][w] = max(dp[i-1][w], value[i] + dp[i-1][w-weight[i]])",2D Array,O(n * W),O(W) space optimized,Include or exclude each item; maximize value
0/1 Knapsack,Combination Sum IV,Medium,dp[i] = sum(dp[i-num]) for all num in nums where num <= i,Array,O(target * n),O(target),Order matters - try all nums at each step
Unbounded Knapsack,Coin Change,Medium,dp[i] = min coins to make amount i; try each coin repeatedly,Array,O(amount * coins),O(amount),Can use same coin multiple times
Unbounded Knapsack,Coin Combinations I,Medium,Count ways to form sum; order doesn't matter,Array,O(n * sum),O(sum),Iterate coins first to avoid counting permutations
Unbounded Knapsack,Cutting Rod,Medium,dp[i] = max revenue from rod of length i; try all cuts,Array,O(n²),O(n),Maximize value by choosing optimal cuts
Longest Common Subsequence,Uncrossed Lines,Medium,Same as LCS; dp[i][j] = match if s1[i]==s2[j] else max,2D Array,O(m * n),O(m * n) or O(n) optimized,Find longest matching subsequence
Longest Common Subsequence,Edit Distance,Hard,dp[i][j] = min operations to convert s1[0..i] to s2[0..j],2D Array,O(m * n),O(m * n),"Three operations: insert, delete, replace"
Longest Common Subsequence,Longest Common Subsequence,Medium,"If match: dp[i][j] = 1 + dp[i-1][j-1]; else: max(dp[i-1][j], dp[i][j-1])",2D Array,O(m * n),O(m * n),Build up from smaller substrings
Longest Common Subsequence,Word Break,Medium,dp[i] = can break s[0..i]; check all dictionary words ending at i,Array + HashSet,O(n² * m) where m = avg word length,O(n),Check if substring matches any dictionary word
